Team,Year,Week,Day,Date,,,OT,Record,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
Was,2005,5,Sun,10/9/12,boxscore,L,,3,3/1/12,@,Denver Broncos,19,21,28,447,322,125,1,11,257,92,165,,6.35,-0.27,-6.25
Was,2005,6,Sun,10/16/12,boxscore,L,,3,3/2/12,@,Kansas City Chiefs,21,28,26,398,297,101,3,18,274,178,96,,-1.85,-8,1.73
Was,2005,7,Sun,10/23/12,boxscore,W,,4,4/2/12,,San Francisco 49ers,52,17,24,457,253,204,,9,194,54,140,2,24.3,13.83,-4.01
Was,2005,8,Sun,10/30/12,boxscore,L,,4,4/3/12,@,New York Giants,0,36,7,125,87,38,4,19,386,124,262,1,-36.39,2.3,-0.05
Was,2005,9,Sun,11/6/12,boxscore,W,,5,5/3/12,,Philadelphia Eagles,17,10,17,293,215,78,1,17,336,291,45,1,-0.8,1.72,1.77
Was,2005,10,Sun,11/13/12,boxscore,L,,5,5/4/12,@,Tampa Bay Buccaneers,35,36,23,389,204,185,3,19,340,279,61,1,0.46,-11.66,8.09
Was,2005,11,Sun,11/20/12,boxscore,L,,5,5/5/12,,Oakland Raiders,13,16,13,246,138,108,3,16,336,286,50,1,-14.5,6.21,2.45
Was,2005,12,Sun,11/27/12,boxscore,L,OT,5,5/6/12,,San Diego Chargers,17,23,15,282,191,91,,24,397,195,202,3,-5.73,6.77,-0.03
Was,2005,13,Sun,12/4/12,boxscore,W,,6,6/6/12,@,St. Louis Rams,24,9,19,407,150,257,,13,191,142,49,2,15.3,10.8,-8.28
Was,2005,14,Sun,12/11/12,boxscore,W,,7,7/6/12,@,Arizona Cardinals,17,13,16,231,122,109,3,17,302,240,62,4,-14.81,11.64,7.58
Was,2005,15,Sun,12/18/12,boxscore,W,,8,8/6/12,,Dallas Cowboys,35,7,19,334,163,171,1,13,216,107,109,4,7.51,20.99,-1.36
Was,2005,16,Sat,12/24/12,boxscore,W,,9,9/6/12,,New York Giants,35,20,22,380,224,156,1,18,332,233,99,1,13.68,3.61,-0.7
Was,2005,17,Sun,1/1/12,boxscore,W,,10,10/6/12,@,Philadelphia Eagles,31,20,14,279,128,151,1,18,335,239,96,6,-7.87,20.16,-0.11
Was,2004,1,Sun,9/12/12,boxscore,W,,1,Jan-00,,Tampa Bay Buccaneers,16,10,13,291,125,166,1,10,169,139,30,2,-10.57,22.38,-5.9
